Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",BollywoodDance,Ok Jaanu,0.9
Pehli Baar,Ajay Gogavale,BollywoodRomantic,Dhadak,0.89
Tera Yaar Hoon Main,Arijit Singh,BollywoodRomanticSad,Sonu Ke Titu Ki Sweety,0.95
Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,0.95
Chhod Diya,Arijit Singh,BollywoodSad,Baazaar,0.97
Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",BollywoodDance,Golmaal Again,0.9
Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",BollywoodDance,Race 3,0.8099999999999999
Cham Cham,Monali Thakur,BollywoodDance,Baaghi,0.8099999999999999
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",BollywoodMotivational,Sanju,0.95
Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",BollywoodDance,Stree,0.9099999999999999
Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",BollywoodDance,Badrinath Ki Dulhania,0.86
Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,0.9400000000000001
Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",BollywoodRomantic,Baadshaho,0.9
The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",BollywoodDance,Ae Dil Hai Mushkil,0.9
Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,0.96
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,0.93
Ban Ja Rani,Guru Randhawa,BollywoodDanceRomantic,Tumhari Sulu,0.9
Zaalima,"Arijit Singh, Harshdeep Kaur",BollywoodDanceRomantic,Raees,0.9199999999999999
Baarish,"Ash King, Shashaa Tirupati",BollywoodRomantic,Half Girlfriend,0.93
Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",BollywoodDance,Hate Story 4,0.9099999999999999
Ek Do Teen Song,Shreya Ghoshal,BollywoodDance,Baaghi 2,0.86
Tere Liye,"Akanksha Bhandari, Atif Aslam",BollywoodRomantic,Namaste England,0.95
Nazam Nazam,"Arko, Ayushman Khurana",BollywoodRomance,Bareilly Ki Barfi,0.95
Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga,0.9
O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2,0.9400000000000001
Tere Jaisa,"Arko, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,0.9199999999999999
Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana,0.96
Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,0.93
Suraiyya,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Thugs of Hindostan,0.77
Gold Tamba,Nakash Aziz,BollywoodDance,Batti Gul Meter Chalu,0.9199999999999999
Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,0.93
Prem Ratan Dhan Payo,Palak Muchhal,BollywoodDanceRomantic,Prem Ratan Dhan Payo,0.77
Mohabbat,Sunidhi Chauhan,BollywoodDance,Fanney Khan,0.9
Nainowale Ne,Neeti Mohan,BollywoodRomantic,Padmaavat,0.95
Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade,0.9400000000000001
Nasha,Amit Gupta,BollywoodSensual,Game Paisa Ladki,0.9
Bulleya,"Amit Mishra, Shilpa Rao",BollywoodDanceSad,Ae Dil Hai Mushkil,0.9199999999999999
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",BollywoodDance,Kapoor & Sons,0.9
Musafir,"Atif Aslam, Palak Muchhal",BollywoodSad,Sweetiee Weds NRI,0.9400000000000001
Binte Dil,Arijit Singh,BollywoodDance,Padmaavat,0.9400000000000001
Halka Halka,"Divya Kumar, Sunidhi Chauhan",BollywoodRomantic,Fanney Khan,0.9099999999999999
Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodRomanticSad,Badrinath Ki Dulhania,0.93
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",BollywoodDance,Gold,0.9199999999999999
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",BollywoodSensual,Hate Story 4,0.9099999999999999
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",BollywoodDanceRomantic,Kabhi Khushi Kabhie Gham,0.9
Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron,0.9800000000000001
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",BollywoodDance,Judwaa 2,0.89
Selfish,"Atif Aslam, Iulia Vantur",BollywoodRomantic,Race 3,0.6799999999999999
Oonchi Hai Building,"Anu Malik, Neha Kakkar",BollywoodDance,Judwaa 2,0.89
Shikwa Nahin Kisi Se,Kumar Sanu,BollywoodSad,Naseeb,0.82
Sanam Re,Arijit Singh,BollywoodRomantic,Sanam Re,0.8699999999999999
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",BollywoodDance,Saajan,0.82
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend,0.9400000000000001
Suit Suit,"Arjun, Guru Randhawa",BollywoodDance,Hindi Medium,0.9
Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",BollywoodDance,Junooniyat,0.89
Ishq Di Baajiyan,Diljit Dosanjh,BollywoodRomantic,Soorma,0.99
Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",BollywoodDance,Batti Gul Meter Chalu,0.8699999999999999
Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",BollywoodDance,Raees,0.89
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",BollywoodRomantic,Stree,0.96
Nachle Na,"Guru Randhawa, Neeti Mohan",BollywoodDance,Dil Juunglee,0.95
Hatt Ja Tau,Sunidhi Chauhan,BollywoodDance,Veerey Ki Wedding,0.8699999999999999
Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Roy,0.8400000000000001
La La La (Baazaar),"Bilal Saeed, Neha Kakkar",BollywoodDanceRomantic,Baazaar,0.95
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",BollywoodSad,Genius,0.93
Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",BollywoodRomantic,Sanam Re,0.8300000000000001
Jay-Jaykara,Kailash Kher,BollywoodSad,Baahubali 2 - The Conclusion,0.9199999999999999
Tu Hi Hai,Rahul Mishra,Bollywood,Half Girlfriend,0.93
Hawa Hawa,"Mika Singh, Prakriti Kakkar",BollywoodDance,Mubarakan,0.89
Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",BollywoodDance,Veere Di Wedding,0.8699999999999999
Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",BollywoodDance,Bajirao Mastani,0.9099999999999999
O Meri Laila,"Atif Aslam, Jyotica Tangri",BollywoodRomantic,Laila Majnu,0.96
Lo Safar,Jubin Nautiyal,BollywoodRomantic,Baaghi 2,0.9400000000000001
Chalte Chalte,Atif Aslam,BollywoodRomantic,Mitron,0.96
Party Chale On,"Iulia Vantur, Mika Singh",BollywoodDance,Race 3,0.86
Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",BollywoodDance,Bareilly Ki Barfi,0.9099999999999999
Ek Dil Ek Jaan,Shivam Pathak,BollywoodRomantic,Padmaavat,0.9199999999999999
Ae Watan,Arijit Singh,BollywoodPatriotic,Raazi,0.96
Sunn Le Zara,Arnab Dutta,BollywoodSad,1921,0.96
Naam Hai Mera,Neeti Mohan,BollywoodRomanticSad,Hate Story 4,0.8800000000000001
Jiyo Re Baahubali,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",BollywoodDance,Baahubali 2,0.8699999999999999
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",BollywoodRomanticSad,Baaghi 2,0.9400000000000001
Mundiyan,"Navraj Hans, Palak Muchhal",BollywoodDance,Baaghi 2,0.9
Chitthi Aai Hai,Pankaj Udhas,BollywoodSad,Naam,0.8099999999999999
Hawayein,Arijit Singh,BollywoodRomantic,Jab Harry Met Sejal,0.96
Channa Mereya,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,0.93
Lag Ja Gale,Jonita Gandhi,BollywoodRomantic,Saheb Biwi Aur Gangster 3,0.9400000000000001
Sleepy Sleepy Akiyaan,"Asees Kaur, Yasser Desai",BollywoodDance,Bhaiaji Superhit,0.9199999999999999
Subah Subah,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",BollywoodDance,Sonu Ke Titu Ki Sweety,0.95
Naina Da Kya Kasoor,Amit Trivedi,BollywoodRomantic,Andha Dhun,0.96
Soorma Anthem,Shankar Mahadevan,BollywoodMotivational,Soorma,0.99
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",BollywoodSad,Tamasha,0.9400000000000001
Tum Se,Jubin Nautiyal,BollywoodRomanticSad,Jalebi,0.97
Kem Cho,"Ikka, Jyotica Tangri",BollywoodDance,Baazaar,0.9400000000000001
Aaj Se Teri,Arijit Singh,BollywoodRomantic,Padman,0.9400000000000001
Maana Ke Hum Yaar Nahin,Parineeti Chopra,BollywoodRomantic,Meri Pyaari Bindu,0.95
Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",BollywoodRomanticSad,Badhaai Ho,0.93
Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",BollywoodRomanticSadSensual,Wajah Tum Ho,0.8099999999999999
Pyaar De,Ankit Tiwari,BollywoodRomantic,Beiimaan Love,0.85
Ik Vaari Aa,Arijit Singh,BollywoodRomantic,Raabta,0.9400000000000001
Radha,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",BollywoodDance,Student of the Year,0.86
Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",BollywoodDance,Fukrey Returns,0.9400000000000001
Hamari Adhuri Kahani,Arijit Singh,BollywoodSad,Hamari Adhuri Kahani,0.93
Tere Sang Yaara,Atif Aslam,BollywoodRomantic,Rustom,0.9099999999999999
Radha,"Shahid Mallya, Sunidhi Chauhan",BollywoodRomantic,Jab Harry Met Sejal,0.9199999999999999
Kamli,Sunidhi Chauhan,BollywoodDance,Dhoom 3,0.9
Maiya Yashoda,"Alka Yagnik, Anuradha Paudwal, Kavita Krishnamurthy",BollywoodDance,Hum Saath-Saath Hain,0.72
Lae Dooba,Sunidhi Chauhan,BollywoodSad,Aiyaary,0.97
Abhi Toh Party Shuru Hui Hai,"Aastha Gill, Badshah",BollywoodDance,Khoobsurat,0.85
Hello Hello,Rekha Bhardwaj,BollywoodDance,Pataakha,0.77
Bola Har Har Har,"Aaman Trikha, Badshah, Sukhwinder Singh",BollywoodDevotional,Shivaay,0.93
Bolo Har Har Har,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",BollywoodDance,Shivaay,0.93
Tera Mera Rishta,"KK, Shreya Ghoshal",BollywoodRomantic,Jalebi,0.97
Gal Ban Gayi,"Meet Bros, Neha Kakkar, Sukhbir Singh, Yo Yo Honey Singh",BollywoodDance,Single,0.9
Bol Do Na Zara,Armaan Malik,BollywoodRomantic,Azhar,0.9199999999999999
Lakk Mera Hit,"Mannat Noor, Rochak Kohli, Sukriti Kakar",BollywoodDance,Sonu Ke Titu Ki Sweety,0.9199999999999999
Sexy Baliye,Mika Singh,BollywoodDance,Dil Chahta Hai,0.8800000000000001
Main Jahaan Rahoon,Rahat Fateh Ali Khan,BollywoodSad,Namastey London,0.9099999999999999
Hasi Ban Gaye,Shreya Ghoshal,BollywoodRomantic,Hamari Adhuri Kahani,0.93
Nachde Ne Saare,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",BollywoodDance,Baar Baar Dekho,0.9199999999999999
Manma Emotion Jaage,"Amit Mishra, Antara Mitra, Anushka Manchanda",BollywoodDanceRomantic,Dilwale,0.9
Happy Happy,"Aastha Gill, Badshah",Bollywood,Blackmail,0.9199999999999999
Tujhko Na Dekhun,"Sunidhi Chauhan, Udit Narayan",Bollywood,Jaanwar,0.85
Theher Ja,Armaan Malik,BollywoodRomantic,October,0.96
Boond Boond,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Hate Story 4,0.93
Adhura Lafz,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",BollywoodRomantic,Baazaar,0.97
Trippy Trippy,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",BollywoodDance,Bhoomi,0.85
Tukur Tukur,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",BollywoodDance,Dilwale,0.89
Teri Khair Mangdi,Bilal Saeed,BollywoodSad,Baar Baar Dekho,0.96
Pinga,"Shreya Ghoshal, Vasihali Made",BollywoodDance,Bajirao Mastani,0.8699999999999999
Haanikaarak,Sarwar Khan,Bollywood,Dangal,0.8400000000000001
Tere Thumke Sapna Chaudhary,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",BollywoodDance,Nanu Ki Jaanu,0.9199999999999999
Badnaamiyan,Armaan Malik,BollywoodRomantic,Hate Story 4,0.9199999999999999
Malhari,Vishal Dadlani,BollywoodDance,Bajirao Mastani,0.9099999999999999
Piya More,"Mika Singh, Neeti Mohan",Bollywood,Baadshaho,0.9099999999999999
High Heels Te Nachche,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",BollywoodDance,Ki & Ka,0.8699999999999999
Shake Karaan,"Kanika Kapoor, Meet Bros",BollywoodDance,Munna Michael,0.89
Thodi Der,"Farhan Saeed, Shreya Ghoshal",BollywoodSad,Half Girlfriend,0.9400000000000001
Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",BollywoodDance,Har Dil Jo Pyar Karega,0.8400000000000001
Raabta,Nikhita Gandhi,BollywoodRomantic,Raabta,0.9
Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",BollywoodDance,Tubelight,0.9099999999999999
Janam Janam,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,0.9400000000000001
Andha Dhun,Raftaar,BollywoodDance,Andha Dhun,0.96
Holi Biraj Ma,Jubin Nautiyal,BollywoodDance,Genius,0.93
Kal Ho Naa Ho Title Track,Sonu Nigam,BollywoodSad,Kal Ho Naa Ho,0.95
Enna Sona,"A.R. Rahman, Arijit Singh",BollywoodRomantic,Ok Jaanu,0.95
Little Little,Harrdy Sandhu,BollywoodDance,Yamla Pagla Deewana Phir Se,0.9199999999999999
Maa Sherawaliye,Sonu Nigam,Bollywood,Khiladiyon Ka Khiladi,0.76
Disco Disco,"Benny Dayal, Shirley Setia",BollywoodDance,A Gentleman,0.89
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",BollywoodSad,Raabta,0.96
Aahista,"Arijit Singh, Jonita Gandhi",BollywoodRomantic,Laila Majnu,0.9400000000000001
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,0.9400000000000001
Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Andaaz,0.86
Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju,0.96
Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",BollywoodMotivational,Sultan,0.89
Radio,"Amit Mishra, Kamaal khan",BollywoodDance,Tubelight,0.86
Sab Badhiya Hai,Sukhwinder Singh,BollywoodDance,Sui Dhaaga,0.9199999999999999
Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",BollywoodDance,Happy Phirr Bhaag Jayegi,0.8699999999999999
Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",BollywoodDance,A Flying Jatt,0.89
Jag Ghoomeya,Rahat Fateh Ali Khan,BollywoodRomantic,Sultan,0.8699999999999999
Jogi,"Aakanksha Sharma, Yasser Desai",BollywoodRomantic,Shaadi Mein Zaroor Aana,0.96
Lets Nacho,"Badshah, Benny Dayal",BollywoodDance,Kapoor & Sons,0.9199999999999999
Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Yeh Vaada Raha,0.9199999999999999
Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",BollywoodDance,Yeh Vaada Raha,0.9199999999999999
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",BollywoodDance,ABCD 2,0.9400000000000001
Jeene Laga Hoon,Atif Aslam,BollywoodRomantic,Ramaiya Vastavaiya,0.9
Nit Khair Manga,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,0.9400000000000001
Jitni Dafa,"Jeet Gannguli, Yasser Desai",BollywoodRomantic,Parmanu The Story of Pokhran,0.97
Wajah Tum Ho,Armaan Malik,BollywoodRomanticSensual,Hate Story 3,0.8800000000000001
Rozana,Shreya Ghoshal,BollywoodRomantic,Naam Shabana,0.96
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",BollywoodRomanticSad,Namaste England,0.9400000000000001
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",BollywoodDance,Dil Dhadakne Do,0.89
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,0.9400000000000001
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys,0.9
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",BollywoodRomantic,Andha Dhun,0.95
Socha Hai,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Baadshaho,0.95
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",BollywoodSad,Creature 3D,0.93
Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi,0.97
Main Woh Chaand,Darshan Raval,BollywoodRomanticSad,Teraa Surroor,0.9
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Dulhe Raja,0.82
Jab Tak,"Amaal Mallik, Armaan Malik",BollywoodRomantic,M.S. Dhoni,0.9400000000000001
Luv Letter,"Kanika Kapoor, Meet Bros",BollywoodDance,The Legend of Michael Mishra,0.9099999999999999
Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",Bollywood,Jagga Jasoos,0.8800000000000001
Yaad Hai Na,Arijit Singh,BollywoodRomantic,Raaz Reboot,0.9099999999999999
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",BollywoodDance,Pataakha,0.9199999999999999
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,BollywoodDanceRomantic,Kaabil,0.9199999999999999
Sau Aasmaan,"Armaan Malik, Neeti Mohan",BollywoodDance,Baar Baar Dekho,0.9400000000000001
Beparwah,"Nandini Deb, Siddharth Basrur",BollywoodDance,Munna Michael,0.9
Yaad Hai,"Ankit Tiwari, Palak Muchhal",BollywoodSad,Aiyaary,0.97
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",BollywoodDance,Manmarziyaan,0.9400000000000001
Aaj Zid,Arijit Singh,BollywoodSensual,Aksar 2,0.9099999999999999
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Haan Maine Bhi Pyaar Kiya,0.8800000000000001
Main Hoon,Siddharth Mahadevan,BollywoodDance,Munna Michael,0.9099999999999999
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",BollywoodDance,Happy Phirr Bhaag Jayegi,0.9099999999999999
Chote Bade,"Ankit Tiwari, Mika Singh",BollywoodDance,Fry Day,0.8699999999999999
Main Hoon Saath Tere,Arijit Singh,BollywoodRomantic,Shaadi Mein Zaroor Aana,0.97
Kabira,"Rekha Bhardwaj, Tochi Raina",BollywoodSad,Yeh Jawaani Hai Deewani,0.9400000000000001
Main Kaun Hoon,Meghna Mishra,BollywoodSad,Secret Superstar,0.95
Aashiq Surrender Hua,"Amaal Mallik, Shreya Ghoshal",BollywoodDance,Badrinath Ki Dulhania,0.8800000000000001
